title,name,location,time,verified,review,aircraft_model,type_of_traveller,seat_type,route,date_flown,rating,seat_comfort_rating,cabin_staff_service_rating,food_and_beverage_rating,inflight_entertainment_rating,ground_service_rating,value_for_money_rating,recommended
"""Excellent experience let down by delays""",Tony Halliwell,United Arab Emirates,2023-10-07,Trip Verified,Excellent experience let down by delays on the flight from Dubai which meant we didn't have chance to try the lounge in Doha and limited food options on the night flight to Gatwick. The food was little more than snacks and not the 5 star service we expected. The food was a stark contrast to the morning return journey from Heathrow. The food on that flight was amazing. The seats on the 777 to Doha were the old style 2-2-2 seats but that didn't matter on such a short flight. On the flight to Gatwick the seats were comfortable but sadly not the new qsuites.,Boeing 787-8,Couple Leisure,Business Class,Dubai to Gatwick via Doha,September 2023,7,4.0,4.0,3.0,,5.0,4,
"""five star customer service""",K Mansour,United Kingdom,2023-10-06,Trip Verified,"Brilliant, five star customer service provided by Namvkwla, Tae Vi and Calvin onboard QR962 on 2nd October. Nothing was to much for them. Food was okay, seat was fine onboard the new A350-100.",A350-1000,Couple Leisure,Economy Class,London Heathrow to Denpasar Bali via Doha,October 2023,10,4.0,5.0,4.0,4.0,4.0,4,
"""missing bag apparently was traced in AMS""",Philip Armstrong,South Africa,2023-10-05,Trip Verified,"It pains me to share this experience as I have always been a big fan of Qatar, having flown on it many times in my career while based in Washington DC and Geneva (business and first class). And, in fact, paid the extra money to upgrade to business class when I retired and returned to South Africa with my wife during the pandemic and it was expertly handled and a very satisfying, secure experience. Checked in at Schipol around noon on Tuesday 26 September travelling QR0274 to Doha, then QR1369 to Cape Town on Wednesday 27 September. Checked in three bags, two were received, and one was not. Reported at CPT on arrival on 27 September and a property irregularity report completed with appropriate supporting information including pics. Since then it has been a nightmare of correspondence and communication with various people in CPT, DOHA and AMS. All to NO avail. No one seems to have the capability, willingness or interest in helping a customer retrieve their missing bag containing valued personal possessions, including our family Holy Bible which is irreplaceable. Apparently the missing bag apparently was traced in AMS and was meant to be loaded on QR0274/29 September to be delivered in CPT on QR1369/30 September. Nothing arrived and there seems to be complete confusion between CPT and Qatar representatives in Doha and AMS. It seems AMS are not responding but I find it hard to believe that Qatar would not physically investigate what is going on at AMS with their baggage handlers, whom I believe are Swissport. I tried Swissport and the Station Manager in AMS but they don't answer their phones. I keep being assured that the bag is on the next flight but nothing. It is now a week since the missing bag was traced and it is just endless communication with people who want nothing to do with the problem and passing the blame to someone else. No one is willing to show any initiative or take accountability.",,Couple Leisure,Economy Class,Amsterdam to Cape Town via Doha,September 2023,1,,4.0,3.0,3.0,1.0,1,no
"""things went fairly smooth""",Ladislav Habart,Thailand,2023-10-04,Trip Verified,,Boeing 777,Solo Leisure,Economy Class,Bangkok to Doha,October 2023,9,3.0,5.0,5.0,4.0,5.0,4,
"""seating was simply just too small""",C Hardy,Australia,2023-10-03,Trip Verified,,Boeing 777-300er,Couple Leisure,Economy Class,Manchester to Brisbane via Doha,September 2023,1,1.0,1.0,,,1.0,1,no
"""exceptional service""",Vahid Jahangiri,United States,2023-10-03,Trip Verified,,A350 / Boeing 787,Business,Economy Class,Washington to Kathmanda via Doha,September 2023,10,5.0,5.0,5.0,5.0,5.0,5,
"""most disappointing was the food""",M Cambarda,France,2023-10-03,Trip Verified,,,Business,Economy Class,Paris to Muscat via Doha,September 2023,3,1.0,4.0,1.0,3.0,3.0,3,no
"""exceptional service""",O Myrick,United States,2023-10-02,Not Verified,,,Family Leisure,Economy Class,Doha to Bangkok,October 2023,10,4.0,5.0,5.0,4.0,5.0,5,
"""Garuda Business lounge that was really awful""",G Mayle,Australia,2023-10-01,Trip Verified,,,Couple Leisure,Business Class,Jakarta to Athens via Doha,September 2023,4,3.0,3.0,3.0,1.0,1.0,1,no
"""they use a small aircraft""",Mohamed Redha Al Lawati,Oman,2023-09-30,Trip Verified,,A320,Family Leisure,Economy Class,Vienna to Muscat via Doha,September 2023,3,1.0,3.0,3.0,1.0,4.0,3,
"""the leg room felt a little tighter""",D Morton,Czech Republic,2023-09-30,Trip Verified,,A380-800,Solo Leisure,Economy Class,Bangkok to Vienna via Doha,September 2023,8,5.0,5.0,4.0,3.0,4.0,5,
"""the need to take buses""",Albert Tay,Singapore,2023-09-30,Not Verified,,,Business,Business Class,Singapore to Rome via Doha,September 2023,6,4.0,4.0,4.0,3.0,2.0,3,no
"""didn't acknowledge or greet me""",H Nair,Bahrain,2023-09-27,Trip Verified,,,Solo Leisure,Economy Class,Doha to Bahrain,September 2023,1,1.0,1.0,1.0,,1.0,2,no
"""helped us tremendously""",T Ding,Austria,2023-09-23,Trip Verified,,,Couple Leisure,Economy Class,Vienna to Singapore via Doha,September 2023,10,5.0,5.0,,,5.0,5,
First Class lounge in Doha is amazing,Alwaleed Althani,Qatar,2023-09-23,Trip Verified,,Boeing 737-8MAX,Solo Leisure,First Class,Doha to Kuwait,September 2023,7,3.0,5.0,2.0,,5.0,2,
experience couldn’t have been better,Anna Makris,Australia,2023-09-23,Not Verified,,,Couple Leisure,Economy Class,Athens to Melbourne via Doha,September 2023,9,5.0,5.0,4.0,4.0,5.0,4,
"""fast service and good offerings""",Michael Schade,Germany,2023-09-23,Trip Verified,,Boeing 738 max / B773 ER,Solo Leisure,Economy Class,Abu Dhabi to Bangkok via Doha,September 2023,6,3.0,5.0,2.0,4.0,4.0,1,
"""we never got a refund""",D Laguitton,United Kingdom,2023-09-22,Trip Verified,,,Family Leisure,Economy Class,Doha to Colombo,July 2023,1,2.0,1.0,2.0,,1.0,3,no
"""lost the connection flight""",Y Horden,Uganda,2023-09-22,Trip Verified,,,Business,Economy Class,Entebbe to Vienna via Doha,September 2023,5,4.0,5.0,3.0,5.0,4.0,3,no
"""The service was amazing""",M Haleem,Germany,2023-09-22,Trip Verified,,,Solo Leisure,Economy Class,Doha to Frankfurt,September 2023,10,5.0,5.0,5.0,5.0,5.0,5,
"""very average flights""",Michael Schade,Germany,2023-09-20,Trip Verified,,Boeing 773ER / 738 Max,Solo Leisure,Economy Class,Bangkok to Abu Dhabi via Doha,September 2023,5,3.0,5.0,1.0,4.0,4.0,2,
"""Staff and aircraft were fantastic""",George Nicholas Rutter,New Zealand,2023-09-20,Trip Verified,,,Business,Business Class,Doha to Auckland ,September 2023,10,5.0,4.0,5.0,4.0,4.0,4,
"""my seat was not in an exit row""",C Mayre,United States,2023-09-19,Trip Verified,,,Solo Leisure,Economy Class,Doha to Istanbul,September 2023,1,1.0,,,,1.0,1,no
"""Brilliant service as always""",Moeen Omar,South Africa,2023-09-18,Trip Verified,,,Family Leisure,Economy Class,Johannesburg to Barcelona via Doha,September 2023,10,5.0,5.0,5.0,4.0,5.0,5,
"""changed our plane to one that didn't have Qsuites""",J Meares,Australia,2023-09-18,Trip Verified,,A380 / Boeing 777 / 787-9 ,Couple Leisure,Business Class,Sydney to Athens via Doha,August 2023,2,4.0,4.0,3.0,2.0,1.0,3,no
"""Incredible from start to finish""",A Derrick,Australia,2023-09-18,Not Verified,,,Business,Business Class,Brisbane to Paris via Doha,August 2023,10,5.0,5.0,5.0,5.0,5.0,5,
"""not able to select seat""",D Tewari,United States,2023-09-15,Not Verified,,Boeing 777-300ER,Couple Leisure,Economy Class,Philadelphia to Delhi via Doha,September 2023,3,,,,,,2,no
"""highly polished, professional service""",J Mayes,Lebanon,2023-09-14,Trip Verified,,Boeing 777-300ER,Solo Leisure,Business Class,Beirut to Tokyo via Doha,September 2023,10,4.0,5.0,5.0,4.0,5.0,4,
"""not able complete the food service""",V Mann,Germany,2023-09-14,Trip Verified,,Boeing 787,Family Leisure,Economy Class,Mumbai to Frankfurt via Doha,September 2023,2,2.0,1.0,1.0,2.0,2.0,1,no
"""This is truly a 5 star airline""",K Martin,Australia,2023-09-13,Trip Verified,,Boeing 777,Solo Leisure,Business Class,Doha to Tokyo,August 2023,10,5.0,5.0,5.0,5.0,5.0,5,
"""another fantastic experience""",N Kasouri,United Kingdom,2023-09-13,Trip Verified,,A350-900,Solo Leisure,Economy Class,London Heathrow to Doha,September 2023,10,4.0,5.0,4.0,4.0,5.0,4,
"""Seat comfort on 787 absolute zero""",E Paulsen,Thailand,2023-09-12,Trip Verified,,Boeing 787,Couple Leisure,Economy Class,Bangkok to Gatwick via Doha,September 2023,1,1.0,4.0,3.0,3.0,3.0,2,no
"""waiting for some invoices for more than a year""",C Kadyka,Poland,2023-09-12,Trip Verified,,A380 / A330 / B777,Business,Business Class,Warsaw to Phuket via Doha,May 2023,7,4.0,4.0,5.0,4.0,5.0,3,
"""Food was terrible""",Richard Laycock,United Kingdom,2023-09-10,Trip Verified,,A380,Solo Leisure,Economy Class,Bangkok to Edinburgh via Doha,August 2023,4,3.0,1.0,1.0,5.0,5.0,2,no
"""food on these flights was really tasty""",Richard Laycock,United Kingdom,2023-09-10,Trip Verified,,Boeing 787-8,Solo Leisure,Economy Class,Edinburgh to Bangkok via Doha,August 2023,8,3.0,4.0,4.0,5.0,3.0,4,
"""Indigo was absolutely horrible""",T Morton,United Kingdom,2023-09-09,Trip Verified,,,Family Leisure,Economy Class,London to Kochi via Doha,August 2023,1,2.0,3.0,2.0,2.0,1.0,1,no
"""I highly recommend Qatar Airways""",Michelle Rollason,Australia,2023-09-09,Trip Verified,,A380,Business,Business Class,Sydney to Rome via Doha,July 2023,10,5.0,5.0,5.0,5.0,5.0,5,
"""everything was just amazing""",Ayesha Amjad,Pakistan,2023-09-07,Trip Verified,,,Family Leisure,Economy Class,Islamabad to London via Doha,September 2023,10,5.0,5.0,4.0,5.0,5.0,5,
"""service throughout was exceptional""",Rajapaksa Minimuthu Rajapaksa,Sri Lanka,2023-09-06,Trip Verified,,,Business,Economy Class,Geneva to Colombo via Doha,September 2023,9,4.0,5.0,5.0,5.0,5.0,5,
"""I was given a middle seat""",Adrien Rousseau,New Zealand,2023-09-05,Trip Verified,,A350,Solo Leisure,Economy Class,Auckland to London via Doha,September 2023,5,2.0,4.0,2.0,5.0,4.0,2,no
"""Will not use them again""",M Garten,United Kingdom,2023-09-04,Trip Verified,,,Solo Leisure,Economy Class,Bangkok to London via Doha,September 2023,5,2.0,5.0,3.0,2.0,3.0,2,no
"""the personal service was fantastic""",Alwaleed Althani,Qatar,2023-09-03,Trip Verified,,A380,Solo Leisure,First Class,London to Doha,September 2023,9,5.0,5.0,5.0,1.0,1.0,4,
"""I asked for a low salt menu""",M Masi,Iran,2023-08-29,Trip Verified,,,Solo Leisure,Economy Class,Montreal to Tehran via Doha,August 2023,8,4.0,2.0,1.0,4.0,3.0,4,
"""seat was quite uncomfortable""",SR Shetty,India,2023-08-29,Not Verified,,Boeing 777-300ER,Solo Leisure,Economy Class,Chicago to Doha,August 2023,4,3.0,3.0,4.0,3.0,2.0,2,no
"""a wonderful experience""",S R Shetty,India,2023-08-29,Not Verified,,Boeing 777-300ER,Solo Leisure,Business Class,Doha to Mumbai,August 2023,8,5.0,5.0,5.0,4.0,4.0,5,
"""very good business class product""",R Maxwell,United States,2023-08-26,Not Verified,,Boeing 777 / 787,Business,Business Class,Dallas to Johannesburg via Doha,August 2023,7,4.0,3.0,5.0,4.0,2.0,3,no
"""upgrade was only for the segment""",T Marelli,France,2023-08-26,Trip Verified,,,Family Leisure,Business Class,Singapore to Zurich via Doha,August 2023,1,4.0,3.0,2.0,4.0,1.0,1,no
"""Al Safwa lounge food has improved""",Michael Schade,Germany,2023-08-24,Trip Verified,,A350-900 / Boeing 777-300,Solo Leisure,Business Class,Zurich to Bangkok via Doha,August 2023,4,3.0,5.0,4.0,4.0,2.0,1,
"""experienced such bad service""",S Morten,Germany,2023-08-22,Trip Verified,,,Couple Leisure,Economy Class,Bangkok to Berlin via Doha,July 2023,4,4.0,1.0,4.0,5.0,1.0,4,no
"""highlights the exemplary service""",Vinod Kamalam Surendran,United States,2023-08-21,Trip Verified,,,Solo Leisure,Economy Class,Doha to New York JFK ,August 2023,8,4.0,5.0,4.0,5.0,4.0,5,
"""Excellent service provided""",Matteo Bertoni,Italy,2023-08-20,Trip Verified,,A350-900 / Boeing 787-8,Solo Leisure,Business Class,Milan to Windhoek via Doha,August 2023,10,5.0,5.0,5.0,4.0,4.0,5,
"""Both my meals were inedible""",Christopher Geerdts,South Africa,2023-08-19,Trip Verified,,,Couple Leisure,Economy Class,Doha to Cape Town,August 2023,1,1.0,3.0,2.0,,1.0,1,no
"""Qsuite was exceptional""",Ilham Fadila,Indonesia,2023-08-17,Trip Verified,,Boeing 777-300ER,Solo Leisure,Business Class,Jakarta to Philadelphia via Doha,August 2023,8,5.0,5.0,5.0,5.0,4.0,5,
"""Excellent service as always""",B Gordon,Australia,2023-08-16,Trip Verified,,A380 / A350,Business,Economy Class,Perth to Riyadh via Doha,August 2023,10,5.0,5.0,4.0,,5.0,5,
"""tedious bus-gating in Doha""",Anders Pedersen,Vietnam,2023-08-15,Trip Verified,,Boeing 787-9 / A350-9,Solo Leisure,Economy Class,Hanoi to Johannesburg via Dohs,August 2023,8,4.0,5.0,4.0,5.0,4.0,4,
"""The internet was the worst""",N Harten,Netherlands,2023-08-12,Trip Verified,,A350 / Boeing 787,Business,Economy Class,Maputo to Denpasar via Doha,July 2023,3,2.0,3.0,3.0,3.0,3.0,2,no
"""delay of 90 minutes""",E Dasirin,Belgium,2023-08-07,Trip Verified,,,Family Leisure,Economy Class,Frankfurt to Perth via Doha,July 2023,7,4.0,4.0,4.0,4.0,4.0,3,
"""Boeing 787 is a small aircraft",A Nicholls,Australia,2023-08-07,Trip Verified,,Boeing 787,Family Leisure,Economy Class,Rome to Denpasar via Doha,July 2023,2,1.0,5.0,2.0,2.0,3.0,1,no
"""were denied lounge access""",J Hadissim,Kenya,2023-08-02,Trip Verified,,,Business,Business Class,Jarkata to Doha,August 2023,8,5.0,4.0,4.0,4.0,3.0,2,
"""Absolutely memorable trip""",Natalja Litvinova,Romania,2023-08-01,Trip Verified,,A350,Family Leisure,Business Class,Bucharest to Singapore via Doha,July 2023,10,5.0,5.0,5.0,5.0,5.0,5,
"""Food was amazing""",Hossameldin Marzouk,Poland,2023-07-30,Trip Verified,,,Business,First Class,Doha to Warsaw,November 2022,10,5.0,5.0,5.0,5.0,5.0,5,
"""Service on board was good""",Ine Joosten,Belgium,2023-07-29,Trip Verified,,,Family Leisure,Economy Class,Phuket to Brussels via Doha,July 2023,9,4.0,4.0,3.0,5.0,4.0,5,
"""the original series which is  a few years old""",Jeroen Mutsaars,United Kingdom,2023-07-27,Trip Verified,,Boeing 777,Solo Leisure,Business Class,Manchester to Jakarta via Doha,July 2023,2,1.0,1.0,1.0,1.0,1.0,1,no
"""downgraded to the old seating""",Michael Schade,Germany,2023-07-26,Trip Verified,,Boeing 787/A359,Business,Business Class,Bangkok to Zurich via Doha,July 2023,3,2.0,5.0,5.0,5.0,5.0,1,no
"""wait 5 hours for the next available flight""",Ryan Furlong,Ireland,2023-07-26,Trip Verified,,,Solo Leisure,Economy Class,Dublin to Dubai via Doha,July 2023,1,1.0,1.0,1.0,,1.0,1,no
"""Qatar airways is the best airline""",K Emeli,Nigeria,2023-07-26,Trip Verified,,,Solo Leisure,Economy Class,London to Lagos via Doha,July 2023,9,5.0,5.0,5.0,5.0,5.0,5,
"""cheap and no-frill experience""",S Leeson,United Kingdom,2023-07-21,Trip Verified,,,Family Leisure,Economy Class,London to Cochin via Doha,July 2023,1,3.0,1.0,1.0,1.0,1.0,1,no
"""best service provided""",Edlin Anthony Ang,Philippines,2023-07-20,Trip Verified,,Boeing 777-300,Solo Leisure,Economy Class,Manila to Montreal via Doha,July 2023,10,5.0,5.0,5.0,5.0,5.0,5,
"""IFE system did not work""",W Parlumo,United States,2023-07-19,Trip Verified,,A350,Family Leisure,Business Class,New York to Doha,July 2023,1,4.0,4.0,1.0,1.0,4.0,1,no
"""Flights always on time""",Petrus Smith,South Africa,2023-07-16,Trip Verified,,,Business,Premium Economy,Johannesburg to Baghdad via Doha,July 2023,10,4.0,5.0,4.0,4.0,5.0,5,
"""made me feel unwelcome""",S Meed,South Africa,2023-07-16,Trip Verified,,,Family Leisure,Economy Class,Johannesburg to Bali via Doha,July 2023,2,2.0,1.0,3.0,4.0,1.0,3,no
"""Qatar Airways is the best way to go""",Chipo Maenzanise,United Kingdom,2023-07-14,Trip Verified,,,Solo Leisure,Economy Class,Harare to London via Doha,July 2023,8,4.0,5.0,3.0,5.0,4.0,4,
"""The seat was uncomfortable""",S Haseet,India,2023-07-13,Trip Verified,,Boeing 777-300,Solo Leisure,Economy Class,Mumbai to Chicago via Doha,July 2023,2,2.0,3.0,5.0,3.0,3.0,1,no
"""stuck at the airport this whole time""",T Mayle,United States,2023-07-12,Trip Verified,,,Solo Leisure,Economy Class,Philadelphia to Doha,June 2023,1,1.0,1.0,,,1.0,1,no
"""Friendly helpful staff""",M Barten,New Zealand,2023-07-10,Trip Verified,,A350,Solo Leisure,Business Class,Doha to Cape Town,July 2023,8,5.0,5.0,5.0,4.0,5.0,4,
"""Didn't give access to a lounge""",B Allen,United Arab Emirates,2023-07-04,Trip Verified,,,Solo Leisure,Economy Class,Abu Dhabi to Manchester via Doha,July 2023,1,4.0,1.0,5.0,,1.0,1,no
"""turned out to be exactly as advertised""",Jason Ma,Hong Kong,2023-07-01,Trip Verified,,A350,Business,Business Class,New York JFK to Doha,June 2023,9,5.0,5.0,5.0,4.0,5.0,5,
"""food was disgusting""",Kashfia Haque,United States,2023-06-23,Not Verified,,,Family Leisure,Economy Class,Boston to Dhaka via Doha,February 2023,3,1.0,3.0,1.0,1.0,2.0,3,no
"""Flights uneventful,""",Michael Schade,Germany,2023-06-21,Trip Verified,,773/773 (ex. CX),Business,Economy Class,Frankfurt to Bangkok via Doha,June 2023,5,1.0,3.0,2.0,1.0,4.0,2,
"""Flight was okay""",H Hummaira ,United States,2023-06-21,Trip Verified,,,Solo Leisure,Economy Class,Los Angeles to Lagos via Doha,January 2023,3,4.0,5.0,3.0,4.0,4.0,3,no
"""rather use a different airline""",Atilla Birer,Romania,2023-06-16,Trip Verified,,,Business,Economy Class,Abu Dhabi to Bucharest via Doha,June 2023,1,1.0,2.0,4.0,4.0,1.0,1,no
"""put his seat in full recline position""",Sebastien Gendron,France,2023-06-15,Trip Verified,,,Family Leisure,Economy Class,Paris to Jakarta via Doha,June 2023,6,1.0,4.0,4.0,4.0,3.0,3,no
"""was well pampered""",Anders Pedersen,Vietnam,2023-06-15,Trip Verified,,Boeing 787-8,Solo Leisure,Economy Class,Doha to Hanoi,June 2023,8,4.0,4.0,4.0,5.0,5.0,3,
"""Will keep flying Qatar""",S Barton,Netherlands,2023-06-14,Trip Verified,,Boeing 777 300ER,Solo Leisure,Economy Class,Amsterdam to Phuket via Doha,June 2023,9,4.0,4.0,4.0,4.0,5.0,5,
"""my seat was uncomfortable""",A Kamareem,Qatar,2023-06-14,Trip Verified,,A330-300,Solo Leisure,Economy Class,Madrid to Doha ,June 2023,5,1.0,5.0,4.0,1.0,3.0,3,
"""customer service was super courteous""",Maryam Daneshvaran,United States,2023-06-14,Not Verified,,,Couple Leisure,Economy Class,Tehran to Dallas via Doha,June 2023,8,5.0,5.0,2.0,2.0,5.0,5,
"""Exceptional service""",M Kralik,Bulgaria,2023-06-09,Trip Verified,,A320,Solo Leisure,Business Class,Sofia to Dubai via Doha,June 2023,10,5.0,5.0,5.0,4.0,5.0,5,
"""utmost satisfaction and appreciation""",Ravisankar Konnakkottu,New Zealand,2023-06-07,Trip Verified,,,Solo Leisure,Economy Class,Auckland to Doha,May 2023,10,5.0,5.0,5.0,4.0,5.0,5,
"""rather underwhelming experience""",C Scheale,Germany,2023-06-07,Trip Verified,,Boeing 777-300 / 787-8,Business,Economy Class,Bangkok to Frankfurt via Doha,June 2023,5,3.0,5.0,2.0,5.0,4.0,1,
"""difficult to deal with customer service""",Francisca Arancibia-Duran,Australia,2023-06-06,Not Verified,,,Couple Leisure,Economy Class,Athens to Sydney via Doha,June 2023,4,2.0,3.0,2.0,2.0,3.0,2,no
"""appreciate the good and warm services""",Rizaldy Ilaya,Philippines,2023-06-03,Trip Verified,,,Solo Leisure,Economy Class,Lagos to Manila via Doha,June 2023,9,4.0,5.0,5.0,4.0,5.0,4,
"""switched us from suites""",W Peale,United States,2023-05-27,Trip Verified,,Boeing 777-300ER,Couple Leisure,Business Class,Doha to Ord,May 2023,6,2.0,5.0,5.0,4.0,1.0,2,
"""Great seats in business class""",Joanna Michael dit Miguel,United Kingdom,2023-05-24,Trip Verified,,Boeing 777,Solo Leisure,Business Class,London to Abu Dhabi via Doha,May 2023,3,4.0,4.0,3.0,5.0,3.0,1,no
